acceptedname	phylum	occurences	sti	sd	speciesname	taxonrank	infraspecificepithet	taxon_uri
Hieracium sabaudum	Tracheophyta	11373	9.024580546	1.89420928	Hieracium sabaudum	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/hieraciumsabaudum
Leptodictyum riparium	Bryophyta	11381	7.546331262	2.594606147	Leptodictyum riparium	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/leptodictyumriparium
Alchemilla glaucescens	Tracheophyta	11470	5.797938377	2.665695302	Alchemilla glaucescens	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/alchemillaglaucescens
Matteuccia struthiopteris	Tracheophyta	11477	4.661323113	3.509535718	Matteuccia struthiopteris	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/matteucciastruthiopteris
Amandinea punctata	Ascomycota	11522	6.713355241	4.574695234	Amandinea punctata	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/amandineapunctata
Veronica filiformis	Tracheophyta	11550	7.91257898	1.939307051	Veronica filiformis	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/veronicafiliformis
Tetraphis pellucida	Bryophyta	11564	5.854602086	3.268636008	Tetraphis pellucida	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/tetraphispellucida
Leptogium saturninum	Ascomycota	11583	3.420101473	3.696341999	Leptogium saturninum	SPECIES		
Cladonia fimbriata	Ascomycota	11584	6.928749532	3.562894524	Cladonia fimbriata	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/cladoniafimbriata
Solidago gigantea	Tracheophyta	11613	8.091293903	2.057161119	Solidago gigantea	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/solidagogigantea
Lysimachia punctata	Tracheophyta	11644	7.107417945	2.6003946	Lysimachia punctata	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/lysimachiapunctata
Thymus vulgaris	Tracheophyta	11671	10.41183637	3.221220594	Thymus vulgaris	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/thymusvulgaris
Fissidens adianthoides	Bryophyta	11683	5.761760817	3.712154949	Fissidens adianthoides	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/fissidensadianthoides
Lepidium coronopus	Tracheophyta	11684	10.52211554	2.853093168	Lepidium coronopus	SPECIES		
Lophozia ventricosa	Marchantiophyta	11706	5.197172442	3.799156427	Lophozia ventricosa	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/lophoziaventricosa
Nowellia curvifolia	Marchantiophyta	11714	7.009390846	2.216840146	Nowellia curvifolia	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/nowelliacurvifolia
Nephroma bellum	Ascomycota	11744	2.524714563	2.885936316	Nephroma bellum	SPECIES		
Neottia nidus-avis	Tracheophyta	11750	8.157124352	2.639212779	Neottia nidus-avis	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/neottianidusavis
Viola mirabilis	Tracheophyta	11761	4.848072554	2.900672367	Viola mirabilis	SPECIES		
Lythrum portula	Tracheophyta	11762	8.830623917	2.658413544	Lythrum portula	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/lythrumportula
Thelotrema lepadinum	Ascomycota	11766	7.397440781	2.169854261	Thelotrema lepadinum	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/thelotremalepadinum
Tortella tortuosa	Bryophyta	11778	5.475399776	4.243742733	Tortella tortuosa	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/tortellatortuosa
Marchantia polymorpha	Marchantiophyta	11780	5.130040454	4.564659045	Marchantia polymorpha	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/marchantiapolymorpha
Rhamnus alaternus	Tracheophyta	11792	14.46639494	2.713535354	Rhamnus alaternus	SPECIES		
Codriophorus aciculare	Bryophyta	11816	6.044976294	3.402329221	Codriophorus aciculare	SPECIES		
