"","species","STI","SD","5th_percentile","25th_percentile","75th_percentile","95th_percentile"
"1308","Centaurea paui",14.8563586996522,0.156519109489476,14.7990338773519,14.8294360719179,14.8857085075726,14.9100862455289
"1309","Centaurea phrygia",5.44396586645208,2.01831722658132,2.98221818460418,4.12133559700766,6.72604539052653,8.07630798437976
"1310","Centaurea pinae",11.9026420583314,0.463549949210727,11.5170390165569,11.6944015251121,12.1005395543265,12.2590031858433
"1311","Centaurea pullata",16.0025315948199,1.15663173163914,14.5109159750918,15.5423655601483,16.613909756094,17.2286022354464
"1312","Centaurea resupinata",14.6798855625223,0.481075732971484,14.3198046542652,14.5605075905703,14.8208536202269,15.0119561926469
"1313","Centaurea rouyi",15.1667260566868,0.100598574257407,15.1140309407552,15.1559343922208,15.1921518839712,15.1981885187094
"1314","Centaurea scabiosa",7.91590869395434,2.37845920654518,3.4958069166915,6.77270017275712,9.532738609906,10.9639314246631
"1315","Centaurea seridis",16.3435115428685,0.882110422345805,15.6530374541388,15.9959240662892,16.6469028102984,17.0678939155574
"1316","Centaurea sphaerocephala",15.9957837113405,0.995728143323239,14.8887524091237,15.5643415286647,16.5336726178852,16.9000507750066
"1317","Centaurea stoebe",8.34827322764414,1.45304291331846,6.34091350198741,7.69309846710901,8.99781486766024,10.2180883709964
"1318","Centaurea thuillieri",10.2019184063688,0.584439354699823,9.44033804341846,9.88827445170811,10.515269508868,10.8688742644026
"1319","Centaurium erythraea",9.89442645187763,2.42084912588391,7.31012880030616,8.32100023650934,10.5226669867507,15.5028436616713
"1320","Centaurium littorale",7.72036783811755,1.5628822527069,5.87138187227289,6.91221068188628,8.34787665684658,9.60128476897158
"1321","Centaurium maritimum",15.56353736533,1.63449530371537,13.4106256866563,14.684959830825,16.5468606866156,17.2916540319721
"1322","Centaurium pulchellum",9.97801023172304,2.93879837222198,6.5654648871183,7.92663370110026,11.0970300522771,16.0125838830881
"1323","Centaurium quadrifolium",14.0696700334722,0.786555558057387,13.307904067341,13.7903251091555,14.3455370623611,14.6564868872706
"1324","Centaurium quadrifolium subsp. barrelieri",14.1565102709466,0.85529365954262,13.2794141855059,13.8688231143434,14.5589328583817,14.878464850392
"1325","Centaurium tenuiflorum",15.3328198571672,2.23843241834489,12.4014449544401,14.0774166363559,16.7441023733929,17.9208821469154
"1326","Centranthus calcitrapa",14.677882691363,2.06781280928484,11.1958591083218,13.4471550402836,16.2004390366445,17.0151324838771
"1327","Centranthus ruber",10.2941024011127,2.2297259572955,7.78037973209582,8.8619958195179,11.1926104116219,14.5945502023437
"1328","Cephalanthera damasonium",9.40918223803462,1.89192043151271,6.95954953762388,8.16471929809021,10.4769333497804,12.451338880942
"1329","Cephalanthera longifolia",9.85451241400342,3.29024945436676,5.31852163941031,7.49171639580983,11.9326008913351,15.4114870782687
"1330","Cephalanthera rubra",9.21810546510202,2.53208874439148,5.84770659800217,7.5566246701006,10.786281785762,12.9870297105205
"1331","Cephalaria gigantea",7.1879553870717,1.34351050820739,5.84073724946731,6.59879616630778,7.84298974892153,8.43877805489838
"1332","Cephalaria joppensis",19.1093604491113,0.184881286984793,18.9707962010135,19.0886850685232,19.1660985514218,19.1928317485134
"1333","Cephalaria leucantha",13.3961903660816,2.00592561308821,10.6028477778898,12.4197273063451,14.5051481319966,15.7148251005493
